drug_name,crcl_level,indication,dose,crcl_cutoff_high,crcl_cutoff_low,drug_name_short
Biktarvy (BIC/FTC/TAF) 50/200/25 mg,> 30,,1 tablet daily,1000,30,Biktarvy
Biktarvy (BIC/FTC/TAF) 50/200/25 mg,<30,,not recommended,30,0,Biktarvy
Complera (RPV/FTC/TDF) 25/200/300 mg,<50,,Not recommended. Consider use individual components and adjust for CrCl..,50,0,Complera
Dovato (DTG/3TC) 50/300 mg,<50,,Not recommended. Consider use individual components and adjust for CrCl..,50,0,Dovato
Dovato (DTG/3TC) 50/300 mg,> 50,,1 tablet daily,1000,50,Dovato
Genvoya (EVG/c/FTC/TAF) 150/150/200/10 mg,> 30,,1 tablet daily,1000,30,Genvoya
Genvoya (EVG/c/FTC/TAF) 150/150/200/10 mg,<30,,not recommended,30,0,Genvoya
Juluca (DTG/RPV) 25/50 mg,all CrCl values,,1 tablet daily,1000,0,Juluca
Odefsey (RPV/FTC/TAF) 25/200/25 mg,> 30,,1 tablet daily,1000,30,Odefsey
Odefsey (RPV/FTC/TAF) 25/200/25 mg,<30,,1 tablet daily,30,0,Odefsey
Symtuza (DRV/c/FTC/TAF) 800/150/200/10 mg,<30,,Not recommended. Consider use individual components and adjust for CrCl..,30,0,Symtuza
Symtuza (DRV/c/FTC/TAF) 800/150/200/10 mg,> 30,,1 tablet daily,1000,30,Symtuza
Lopinavir/ritonavir (LPV/r),all CrCl values,,400/100mg q12h; 800/200mg daily,1000,0,LPV/r
Prezcobix (DRV/c) 800/150 mg,<70,,not recommended if used with TDF,70,0,DRV/c
Prezcobix (DRV/c) 800/150 mg,> 70,,1 tablet daily,1000,70,DRV/c
Micafungin,all CrCl values,prophylaxis,50mg q24h,1000,0,Micafungin
Micafungin,all CrCl values,candidemia,100mg q24h,1000,0,Micafungin
Fosamprenavir (FPV),all CrCl values,,1400mg q12h (without ritonavir); 1400mg daily (w/ ritonavir 100 – 200mg); 700mg q12h (w/ ritonavir 100mg q12h),1000,0,FPV
Daptomycin,<30,UTI,6mg/kg q48h,30,0,
Vancomycin,60 – 100,NOT critically ill,loading dose based on weight followed by 15-20mg/kg q12h,100,60,
Penicillin G Potassium,10 – 50,endocarditis / neurosyphillis / NSTI,2 – 5 mU q4h OR 12 – 30 mU/over 24 hrs,50,10,
Meropenem,25 – 50,neutropenic fever or serious infection,1 – 2g q12h,50,25,
Meropenem,25 – 50,cystic fibrosis / meningitis,2g q12h,50,25,
Meropenem,10 – 25,neutropenic fever or serious infection,500 – 1000mg q12h,25,10,
Flucytosine,10 – 20,,25mg/kg q24h,20,10,Flucytosine
Colistin - for Cystic Fibrosis,20 – 50,mild-moderate infection,75mg q24h,50,20,
Ceftazidime,30 – 50,NOT neutropenic fever / serious infection / pseudomonas aeruginosa,1g q12h,50,30,
Ceftaroline,15 – 30,NOT endocarditis,300mg q12h,30,15,
Ceftaroline,30 – 50,endocarditis,400mg q8h,50,30,
Ampicillin,10 – 50,,1 – 2g q6–12h,50,10,
Penicillin G Potassium,<10,endocarditis / neurosyphillis / NSTI,2 mU q4-6h OR 8 - 12 mU over 24 hrs,10,0,
Maraviroc (MVC),> 30,,300mg q12h,1000,30,MVC
Raltegravir (RAL),all CrCl values,,400mg q12h,1000,0,RAL
Enfuvirtide; SC (ENF),> 30,,90mg q12h,1000,30,ENF
Enfuvirtide; SC (ENF),<30,,not studied; however may consider no dose adjustment,30,0,ENF
Meropenem,> 50,cystic fibrosis / meningitis,2g q8h,1000,50,
Nafcillin,all CrCl values,any,2g q4h or 12g daily as a continuous infusion,1000,0,
Fosfomycin,> 40,cystitis,3g x1,1000,40,
Fosfomycin,all CrCl values,pyelonephritis,do not use,1000,0,
Oseltamivir - for pregnant women (or within two weeks of delivery),> 50,treatment,75mg q8h,1000,50,
Imipenem/Cilastatin,<10,,250 – 500mg q12h,10,0,
Maraviroc (MVC),<30,,150 – 300mg q12h - CrCl<30 and on potent CYP3A4 inhibitor: not recommended,30,0,MVC
Doravirine (DOR),all CrCl values,,100mg daily,1000,0,DOR
Atripla (EFV/FTC/TDF) 600/200/300 mg,<50,,Not recommended. Consider use individual components and adjust for CrCl..,50,0,Atripla
Doxycycline,all CrCl values,,100mg q12h,1000,0,
Epzicom (ABC/3TC) 600/300 mg,<50,,Not recommended. Consider use individual components and adjust 3TC for CrCl,50,0,Epzicom
Abacavir (ABC),all CrCl values,,300mg q12h; 600mg daily,1000,0,ABC
Colistin - NOT for cystic fibrosis,20 – 50,any,150mg q24h,50,20,
Ceftolozane-tazobactam,30 – 50,,1.5g q8h,50,30,
Ceftolozane-tazobactam,15 – 30,,750mg q8h,30,15,
Ceftazidime-Avibactam,5 – 15,,940mg q24h,15,5,
Ceftazidime,30 – 50,neutropenic fever / serious infection / pseudomonas aeruginosa,2g q12h,50,30,
Daptomycin,<30,other,6 – 12mg/kg q48h,30,0,
Daptomycin,> 30,MSSA bacteremia,6 – 8mg/kg q24h,1000,30,
Daptomycin,<30,VRE bacteremia,8 – 12mg/kg q48h,30,0,
Dalbavancin,> 30,acute bacterial skin and skin structure infection,1500mg once or 1000mg then 500mg 7 days later,1000,30,
Rifampin,<10,endocarditis,300mg q8h; if hepatic failure and CrCl<10 discuss w/ pharmacy,10,0,
Bictegravir (BIC),<30,,not recommended.,30,0,BIC
Bictegravir (BIC),> 30,,50mg daily,1000,30,BIC
Ertapenem,> 30,,1g q24h,1000,30,
Cimduo (3TC/TDF) 300/300 mg,> 50,,1 tablet daily,1000,50,Cimduo
Ceftazidime-Avibactam,> 50,,2.5g q8h infused over 2 hours,1000,50,
Zidovudine (AZT),> 15,,300mg q12h,1000,15,AZT
Daptomycin,> 30,UTI,6mg/kg q24h,1000,30,
Ceftolozane-tazobactam,> 50,,3g q8h infused over 1 hour,1000,50,
Elvitegravir (EVG),all CrCl values,,85 - 150mg daily,1000,0,EVG
Ethambutol,<30,,15 – 25mg/kg TIW,30,0,
Flucytosine,20 – 40,,25mg/kg q12h,40,20,Flucytosine
Emtricitabine (FTC),15 – 30,,capsule - 200mg Q72h; solution - 80mg Q24h,30,15,FTC
Ceftazidime-Avibactam,30 – 50,,1.25g q8h,50,30,
Ceftazidime,5 – 15,neutropenic fever / serious infection / pseudomonas aeruginosa,1g q24h,15,5,
Vancomycin - for C.difficile infections,all CrCl values,C. difficile infections,125mg  q6h,1000,0,
Daptomycin,> 30,other,6 – 12mg/kg q24h,1000,30,
Oseltamivir,> 60,treatment,75mg q12h,1000,60,
Oseltamivir - for pregnant women (or within two weeks of delivery),<50,prophylaxis,Contact Maternal Fetal Medicine for dosing recommendations in patients with impaired renal function or patients who are on hemodialysis.,50,0,
Oseltamivir - for pregnant women (or within two weeks of delivery),<50,treatment,Contact Maternal Fetal Medicine for dosing recommendations in patients with impaired renal function or patients who are on hemodialysis.,50,0,
Oseltamivir - for pregnant women (or within two weeks of delivery),> 50,prophylaxis,75mg q12h,1000,50,
Rifampin,> 50,endocarditis,300mg q8h,1000,50,
Tenofovir alafenamide (TAF),<15,,not recommended,15,0,TAF
Fosfomycin,<40,cystitis,do not use due to risk of ineffectiveness,40,0,
Daptomycin,<30,MRSA bacteremia,8 – 10mg/kg q48h,30,0,
Meropenem,<10,neutropenic fever or serious infection,500-1000mg q24h,10,0,
Flucytosine,<10,,25mg/kg q48h,10,0,Flucytosine
Delstrigo (DOR/3TC/TDF) 100/300/300 mg,<50,,Not recommended. Consider use individual components and adjust for CrCl.,50,0,
Rilpivirine (RPV),all CrCl values,,25mg daily,1000,0,RPV
Triumeq (DTG/ABC/3TC) 50/600/300 mg,> 50,,1 tablet daily,1000,50,Triumeq
Triumeq (DTG/ABC/3TC) 50/600/300 mg,<50,,Not recommended. Consider use individual components and adjust 3TC for CrCl,50,0,Triumeq
Etravirine (ETR),all CrCl values,,200mg q12h,1000,0,ETR
Colistin - for Cystic Fibrosis,> 50,severe infection,150mg q12h,1000,50,
Clindamycin,all CrCl values,,IV: 600 – 900mg q8h,1000,0,
Clindamycin,all CrCl values,,PO: 300 – 450mg 8h,1000,0,
Ceftriaxone,all CrCl values,CAP / pyelo,1g q24h,1000,0,
Ceftriaxone,all CrCl values,endocarditis,see IDSA guidelines,1000,0,
Ceftriaxone,all CrCl values,meningitis,2g q12h,1000,0,
Colistin - NOT for cystic fibrosis,> 50,any,150mg q12h,1000,50,
Meropenem,<10,cystic fibrosis / meningitis,1g q24h,10,0,
Imipenem/Cilastatin,> 50,,500mg q6h,1000,50,
Ceftazidime,<5,NOT neutropenic fever / serious infection / pseudomonas aeruginosa,500mg q48h,5,0,
Ceftazidime,> 50,neutropenic fever / serious infection / pseudomonas aeruginosa,2g q8h,1000,50,
Ceftazidime,> 50,NOT neutropenic fever / serious infection / pseudomonas aeruginosa,1g q8h,1000,50,
Vancomycin,<15,critically ill,loading dose then daily vancomycin levels and re-dose if <15 mcg/mL,15,0,
Vancomycin,<15,NOT critically ill,loading dose then daily vancomycin levels and re-dose if <15 mcg/mL,15,0,
Vancomycin,> 100,NOT critically ill,loading dose based on weight followed by 15-20mg/kg q8-12h; weight based loading dose for NOT critically ill: >100 kg = 2g; 70-99 kg = 1.5g; 50-69 kg = 1g; <50 kg = 0.75g,1000,100,
Vancomycin,> 100,critically ill,loading dose based on weight followed by 15-20mg/kg q8-12h; weight based loading dose for CRITICALLY ILL: >100 kg = 2.5g; 70-99 kg = 2g; 50-69 kg = 1.5g; <50 kg = 1g,1000,100,
Atripla (EFV/FTC/TDF) 600/200/300 mg,> 50,,1 tablet daily,1000,50,Atripla
Cimduo (3TC/TDF) 300/300 mg,<50,,Not recommended. Consider use individual components and adjust for CrCl.,50,0,Cimduo
Pyrazinamide,<30,,25 – 35mg/kg –TIW,30,0,
Penicillin G Potassium,> 50,endocarditis / neurosyphillis / NSTI,2 – 5 mU q4h OR 12 – 30 mU/over 24 hrs,1000,50,
Piperacillin/Tazobactam,<20,any,3.375g q12h infused over 4 hours,20,0,
Piperacillin/Tazobactam,> 20,any,4.5g X 1; then 4 hr later start 3.375g q8h infused over 4 hours,1000,20,
Polymixin B,all CrCl values,systemic infections due to multi-drug resistant organisms,loading dose of 3mg/kg then 12 hours later start maintenance dose of 1.5mg/kg q12h,1000,0,
Pyrazinamide,> 30,,20 – 25mg/kg q24h (max 2g/dose),1000,30,
Rifabutin,all CrCl values,,300mg q24h,1000,0,
Trimethoprim/Sulfamethoxazole,30 – 50,PJP prophylaxis,1 SS tab q24h,50,30,
Rifampin,10 – 50,endocarditis,300mg q8h,50,10,
Rifampin,10 – 50,mycobacterial infection or prosthetic joint infection,600mg q24h,50,10,
Ceftazidime,15 – 30,NOT neutropenic fever / serious infection / pseudomonas aeruginosa,1g q24h,30,15,
Ceftazidime,5 – 15,NOT neutropenic fever / serious infection / pseudomonas aeruginosa,500mg q24h,15,5,
Colistin - for Cystic Fibrosis,< 20,mild-moderate infection,75mg q48h,20,0,
Amoxicillin/Clavulanate,<10,,500mg q24h (500mg SD),10,0,
Rifampin,> 50,mycobacterial infection or prosthetic joint infection,600mg q24h,1000,50,
Tigecycline,all CrCl values,,100mg x 1; 50mg q12h,1000,0,
Emtricitabine (FTC),<15,,capsule - 200mg q96h; solution - 60mg daily,15,0,FTC
Ciprofloxacin,> 30,,PO: 250 – 750mg q12h,1000,30,
Cephalexin,<10,,250mg q12h,10,0,
Combivir (3TC/AZT) 150/300 mg,> 50,,1 tablet q12h,1000,50,Combivir
Trimethoprim/Sulfamethoxazole,<10,treatment of PJP or stenotrophomonas,5mg TMP/kg q24h,10,0,
Trimethoprim/Sulfamethoxazole,<30,PJP prophylaxis,1 SS tab q48h,30,0,
Trimethoprim/Sulfamethoxazole,> 50,PJP prophylaxis,1 SS tab q24h or 1 DS tab q24h,1000,50,
