drug_name,crcl_level,indication,dose,crcl_cutoff_high,crcl_cutoff_low,drug_name_short
Ceftazidime,CrCl (mL/min) 5 - 15,Not neutropenic fever; serious infection; Pseudomonas aeruginosa,500 gm q24h,15,5,
Ceftazidime,CrCl (mL/min) <5,Neutropenic fever; serious infection; Pseudomonas aeruginosa,1 gm q48h,5,0,
Ceftazidime,CrCl (mL/min) <5,Not neutropenic fever; serious infection; Pseudomonas aeruginosa,500 mg q48h,5,0,
Ceftazidime,CrCl (mL/min) > 50,Neutropenic fever; serious infection; Pseudomonas aeruginosa,2 gm q8h,1000,50,
Ceftazidime,CrCl (mL/min) > 50,Not neutropenic fever; serious infection; Pseudomonas aeruginosa,1 gm q8h,1000,50,
Ceftazidime-Avibactam,CrCl (mL/min) 15 - 30,,940mg q12h,30,15,
Ceftazidime-Avibactam,CrCl (mL/min) 30 - 50,,1.25g q8h,50,30,
Ceftazidime-Avibactam,CrCl (mL/min) 5 - 15,,940mg q24h,15,5,
Ceftazidime-Avibactam,CrCl (mL/min) <5,,940mg q48h,5,0,
Ceftazidime-Avibactam,CrCl > 50 (mL/min),,2.5g q8h infused over 2 hours,1000,50,
Ceftolozane-tazobactam,CrCl (mL/min) 15 - 30,,750mg q8h,30,15,
Ceftolozane-tazobactam,CrCl (mL/min) 30 - 50,,1.5g q8h,50,30,
Ceftolozane-tazobactam,CrCl (mL/min) <10,,Loading dose 1.5 g x 1; followed by maintenance dose 300mg q8h,10,0,
Ceftolozane-tazobactam,CrCl > 50 (mL/min),,3g q8h infused over 1 hour,1000,50,
Ceftriaxone,all CrCl values,CAP/Pyelo,1g q24h,1000,0,
Ceftriaxone,all CrCl values,Endocarditis,see IDSA guidelines,1000,0,
Ceftriaxone,all CrCl values,Meningitis,2g q12h,1000,0,
Ceftriaxone,all CrCl values,SBP/Osteo,2g q24h,1000,0,
Cephalexin,CrCl (mL/min) 10 - 50,,250 – 500mg q12h,50,10,
Cephalexin,CrCl (mL/min) <10,,250mg q12h,10,0,
Cephalexin,CrCl > 50 (mL/min),,250 – 500mg q6h,1000,50,
Ciprofloxacin,CrCl (mL/min) 10 - 30,,IV: 10-30: 400mg q12h,30,10,
Ciprofloxacin,CrCl (mL/min) 10 - 30,,PO: 10-30: 250 – 500mg q12h,30,10,
Ciprofloxacin,CrCl (mL/min) <10,,IV: 200mg q12h,10,0,
Ciprofloxacin,CrCl (mL/min) <10,,PO: 250mg q12h,10,0,
Ciprofloxacin,CrCl > 30 (mL/min),,IV: 400mg q8-12h,1000,30,
Ciprofloxacin,CrCl > 30 (mL/min),,PO: 250 – 750mg q12h,1000,30,
Clindamycin,all CrCl values,,IV: 600 – 900mg q8h,1000,0,
Clindamycin,all CrCl values,,PO: 300 – 450mg 8h,1000,0,
Colistin - NOT for cystic fibrosis,CrCl (mL/min) 20 - 50,Any,150 mg q24h,50,20,
Colistin - NOT for cystic fibrosis,CrCl (mL/min) <20,Any,150 mg q48h,20,0,
Colistin - NOT for cystic fibrosis,CrCl (mL/min) > 50,Any,150 mg q12h,1000,50,
Colistin - for Cystic Fibrosis,CrCl (mL/min) 20 - 50,mild-moderate infection,75mg q24h,50,20,
Colistin - for Cystic Fibrosis,CrCl (mL/min) 20 - 50,severe infection,150mg q24h,50,20,
Colistin - for Cystic Fibrosis,CrCl (mL/min) <= 20,mild-moderate infection,75mg q48h,20,0,
Colistin - for Cystic Fibrosis,CrCl (mL/min) <= 20,severe infection,150mg q48h,20,0,
Colistin - for Cystic Fibrosis,CrCl > 50 (mL/min),mild-moderate infection,75mg q12,1000,50,
Colistin - for Cystic Fibrosis,CrCl > 50 (mL/min),severe infection,150mg q12h,1000,50,
Dalbavancin,CrCl (mL/min) <30,Acute bacterial skin and skin structure infection,1125 mg once or 750 mg then 375 mg 7 days later,30,0,
Dalbavancin,CrCl (mL/min) > 30,Acute bacterial skin and skin structure infection,1500 mg once or 1000 mg then 500 mg 7 days later,1000,30,
Dalfopristin/Quinupristin,all CrCl values,,7.5mg/kg q8-12h,1000,0,
Dapsone,all CrCl values,,100mg daily,1000,0,
Daptomycin,CrCl (mL/min) <30,MRSA Bacteremia,8-10 mg/kg q48h,30,0,
Daptomycin,CrCl (mL/min) <30,MSSA Bacteremia,6-8 mg/kg q48h,30,0,
Daptomycin,CrCl (mL/min) <30,Other,6-12 mg/kg q48h,30,0,
Daptomycin,CrCl (mL/min) <30,UTI,6 mg/kg q48h,30,0,
Daptomycin,CrCl (mL/min) <30,VRE Bacteremia,8-12 mg/kg q48h,30,0,
Daptomycin,CrCl (mL/min) > 30,MRSA Bacteremia,8-10 mg/kg q24h,1000,30,
Daptomycin,CrCl (mL/min) > 30,MSSA Bacteremia,6-8 mg/kg q24h,1000,30,
Daptomycin,CrCl (mL/min) > 30,Other,6-12 mg/kg q24h,1000,30,
Daptomycin,CrCl (mL/min) > 30,UTI,6 mg/kg q24h,1000,30,
Daptomycin,CrCl (mL/min) > 30,VRE Bacteremia,8-12 mg/kg q24h,1000,30,
Doxycycline,all CrCl values,,100mg q12h,1000,0,
Ertapenem,CrCl (mL/min) <30,,500mg q24h,30,0,
Ertapenem,CrCl > 30 (mL/min),,1g q24h,1000,30,
Ethambutol,CrCl (mL/min) <30,,15 – 25mg/kg TIW,30,0,
Ethambutol,CrCl > 30 (mL/min),,15 – 25mg/kg q24h,1000,30,
Fidaxomicin,all CrCl values,,200mg  q12h,1000,0,
Fosfomycin,CrCl (mL/min) <40,Cystitis,do not use due to risk of ineffectiveness,40,0,
Fosfomycin,CrCl (mL/min) > 40,Cystitis,3g x1,1000,40,
Fosfomycin,all CrCl values,Pyelonephritis,do not use,1000,0,
Imipenem/Cilastatin,CrCl (mL/min) 10 - 50,,500mg q8-12h,50,10,
Imipenem/Cilastatin,CrCl (mL/min) <10,,250 – 500mg q12h,10,0,
Imipenem/Cilastatin,CrCl > 50 (mL/min),,500mg q6h,1000,50,
Isoniazid,all CrCl values,,300mg q24h,1000,0,
Levofloxacin,CrCl (mL/min) 20 - 50,Cystitis,500mg x1; 250mg q24h on day 2,50,20,
Levofloxacin,CrCl (mL/min) <20,Cystitis,500mg x1; 250mg q48h on day 3,20,0,
Levofloxacin,CrCl (mL/min) > 50,Cystitis,250-500mg q24h,1000,50,
Levofloxacin,all CrCl values,Pyelonephritis,do not use,1000,0,
Linezolid,all CrCl values,,600mg q12h,1000,0,
Meropenem,CrCl (mL/min) 10 - 25,Cystic fibrosis / meningitis,1gm q12h,25,10,
Meropenem,CrCl (mL/min) 10 - 25,Neutropenic fever or Serious infection,500-1000 mg q12h,25,10,
Meropenem,CrCl (mL/min) 25 - 50,Cystic fibrosis / meningitis,2gm q12h,50,25,
Meropenem,CrCl (mL/min) 25 - 50,Neutropenic fever or Serious infection,1-2 gm q12h,50,25,
Meropenem,CrCl (mL/min) <10,Cystic fibrosis / meningitis,1gm q24h,10,0,
Meropenem,CrCl (mL/min) <10,Neutropenic fever or Serious infection,500-1000 mg q24h,10,0,
Meropenem,CrCl (mL/min) > 50,Cystic fibrosis / meningitis,2 gm q8h,1000,50,
Meropenem,CrCl (mL/min) > 50,Neutropenic fever or Serious infection,1-2 gm q8h,1000,50,
Minocycline,all CrCl values,,200mg x1; then 100mg q12,1000,0,
Moxifloxacin,all CrCl values,,400mg daily,1000,0,
Nafcillin,all CrCl values,Any,2gm q4h or 12gm daily as a continuous infusion,1000,0,
Nitrofurantoin,CrCl (mL/min) <30,Cystitis,Do not use due to risk of ineffectiveness and concern for toxicity.,30,0,
Nitrofurantoin,CrCl (mL/min) > 30,Cystitis,100mg BID,1000,30,
Nitrofurantoin,all CrCl values,Pyelonephritis,do not use,1000,0,
Oseltamivir,CrCl (mL/min) 30 - 60,Prophylaxis,30mg q24h,60,30,
Oseltamivir,CrCl (mL/min) 30 - 60,Treatment,30mg q12h,60,30,
Oseltamivir,CrCl (mL/min) <30,Prophylaxis,30mg q48h,30,0,
Oseltamivir,CrCl (mL/min) <30,Treatment,30mg q24h,30,0,
Oseltamivir,CrCl > 60 (mL/min),Prophylaxis,75mg q24h,1000,60,
Oseltamivir,CrCl > 60 (mL/min),Treatment,75mg q12h,1000,60,
Oseltamivir - for pregnant women (or within two weeks of delivery),CrCl (mL/min) <50,Prophylaxis,Contact Maternal Fetal Medicine for dosing recommendations in patients with impaired renal function or patients who are on hemodialysis.,50,0,
Oseltamivir - for pregnant women (or within two weeks of delivery),CrCl (mL/min) <50,Treatment,Contact Maternal Fetal Medicine for dosing recommendations in patients with impaired renal function or patients who are on hemodialysis.,50,0,
Oseltamivir - for pregnant women (or within two weeks of delivery),CrCl > 50 (mL/min),Prophylaxis,75mg q12h,1000,50,
Oseltamivir - for pregnant women (or within two weeks of delivery),CrCl > 50 (mL/min),Treatment,75mg q8h,1000,50,
Penicillin G Potassium,CrCl (mL/min) 10 - 50,Endocarditis/ Neurosyphillis/NSTI,2-5 mU q4h OR 12-30 mU/over 24 hrs,50,10,
Penicillin G Potassium,CrCl (mL/min) <10,Endocarditis/ Neurosyphillis/NSTI,2 mU q4-6h OR 8 -12 mU over 24 hrs,10,0,
Penicillin G Potassium,CrCl (mL/min) > 50,Endocarditis/ Neurosyphillis/NSTI,2 – 5 mU q4h OR 12-30 mU/over 24 hrs,1000,50,
Piperacillin/Tazobactam,CrCl (mL/min) <20,Any,3.375g q12h infused over 4 hours,20,0,
Piperacillin/Tazobactam,CrCl (mL/min) > 20,Any,4.5g X 1; then 4 hr later start 3.375g q8h infused over 4 hours,1000,20,
Polymixin B,all CrCl values,Systemic infections due to multi-drug resistant organisms,Loading dose of 3mg/kg then 12 hours later start maintenance dose of 1.5 mg/kg q12h,1000,0,
Pyrazinamide,CrCl (mL/min) <30,,25-35mg/kg –TIW,30,0,
Pyrazinamide,CrCl > 30 (mL/min),,20 – 25mg/kg q24h (max 2g/dose),1000,30,
Rifabutin,all CrCl values,,300mg q24h,1000,0,
Rifampin,CrCl (mL/min) 10 - 50,Endocarditis,300 mg q8h,50,10,
Rifampin,CrCl (mL/min) 10 - 50,Mycobacterial infection or prosthetic joint infection,600 mg q24h,50,10,
Rifampin,CrCl (mL/min) <10,Endocarditis,300 mg q8h; if hepatic failure and CrCl<10 discuss w/ pharmacy,10,0,
Rifampin,CrCl (mL/min) <10,Mycobacterial infection or prosthetic joint infection,600 mg q24h; If hepatic failure and CrCl<10 discuss w/ pharmacy,10,0,
Rifampin,CrCl (mL/min) > 50,Endocarditis,300 mg q8h,1000,50,
Rifampin,CrCl (mL/min) > 50,Mycobacterial infection or prosthetic joint infection,600 mg q24h,1000,50,
Tigecycline,all CrCl values,,100mg x1; 50mg q12h,1000,0,
Trimethoprim/Sulfamethoxazole,CrCl (mL/min) 30 - 50,PJP prophylaxis,1 SS tab q24h,50,30,
Trimethoprim/Sulfamethoxazole,CrCl (mL/min) <10,Treatment of PJP or Stenotrophomonas,5 mg TMP/kg q24h,10,0,
Trimethoprim/Sulfamethoxazole,CrCl (mL/min) <30,PJP prophylaxis,1 SS tab q48h,30,0,
Trimethoprim/Sulfamethoxazole,CrCl (mL/min) > 30,Treatment of PJP or Stenotrophomonas,15 mg TMP/kg/day divided in q8h doses,1000,30,
Trimethoprim/Sulfamethoxazole,CrCl (mL/min) > 50,PJP prophylaxis,1 SS tab q24h or 1 DS tab q24h,1000,50,
Vancomycin,CrCl 15-40,Critically ill,Loading dose based on weight followed by 15-20 mg/kg q24-48h,40,15,
Vancomycin,CrCl 15-40,Not critically ill,Loading dose based on weight followed by 15-20 mg/kg q24-48h,40,15,
Vancomycin,CrCl 40-60,Critically ill,Loading dose based on weight followed by 15-20 mg/kg q12-24h,60,40,
Vancomycin,CrCl 40-60,Not critically ill,Loading dose based on weight followed by 15-20 mg/kg q12-24h,60,40,
Vancomycin,CrCl 60-100,Critically ill,Loading dose based on weight followed by 15-20 mg/kg q12h,100,60,
Vancomycin,CrCl 60-100,Not critically ill,Loading dose based on weight followed by 15-20 mg/kg q12h,100,60,
Vancomycin,CrCl <15,Critically ill,Loading dose then daily vancomycin levels and re-dose if <15 mcg/mL,15,0,
Vancomycin,CrCl <15,Not critically ill,Loading dose then daily vancomycin levels and re-dose if <15 mcg/mL,15,0,
Vancomycin,CrCl >100,Critically ill,Loading dose based on weight followed by 15-20 mg/kg q8-12h; Weight based loading dose for CRITICALLY ILL: >100 kg = 2.5 gm; 70-99 kg = 2 gm; 50-69 kg = 1.5 gm; <50 kg = 1 gm,1000,100,
Vancomycin,CrCl >100,Not critically ill,Loading dose based on weight followed by 15-20 mg/kg q8-12h; Weight based loading dose for NOT critically ill: >100 kg = 2 gm; 70-99 kg = 1.5 gm; 50-69 kg = 1 gm; <50 kg = 0.75 gm,1000,100,
Vancomycin - for C.difficile infections,all CrCl values,C.difficile infections,125mg  q6h,1000,0,
